ROI1	ROI2
-0.383481669	-0.656277369
-0.323498021	0.027945228
-0.342867728	0.835663258
-0.472046911	1.526728089
-0.56699003	1.87587557
-0.387497868	1.773390401
0.185637827	1.278168721
1.018156349	0.60159452
1.771841067	-0.01870794
2.094520811	-0.476286735
1.855205323	-0.801006933
1.231816497	-1.028041296
0.542488679	-1.1349574
-0.013009614	-1.094117636
-0.435872919	-0.915524667
-0.808742858	-0.644722301
-1.174870193	-0.364601855
-1.50836092	-0.174360943
-1.724072314	-0.116162449
-1.696210051	-0.127700692
-1.356237483	-0.105126027
-0.799087091	-0.000949531
-0.240276845	0.159781524
0.159813934	0.327319082
0.397837748	0.455787259
0.557233534	0.503437109
0.688126747	0.43800577
0.767602181	0.255233425
0.749559187	0.005081735
0.667673388	-0.197368806
0.674093637	-0.220883869
0.925243748	-0.006470333
1.384828482	0.374758685
1.778154464	0.744672008
1.820378748	0.940338104
1.508494338	0.963048361
1.121375635	0.970689979
0.906229013	1.07031535
0.826892363	1.156695914
0.653758888	1.009164147
0.250070616	0.530941902
-0.271149733	-0.128654743
-0.64596373	-0.67014335
-0.697215352	-0.861910847
-0.483663615	-0.706169209
-0.220058894	-0.424932154
-0.072268116	-0.275799784
-0.043884005	-0.355296849
-0.030698722	-0.561899144
0.045690248	-0.722681936
0.14070429	-0.738350292
0.106880851	-0.638004856
-0.175715465	-0.542373936
-0.678784265	-0.573070494
-1.235787837	-0.762544093
-1.660427865	-1.029735243
-1.845850837	-1.223468082
-1.775968564	-1.179078765
-1.483527891	-0.782732316
-1.028017576	-0.056373267
-0.517994209	0.814287461
-0.108620016	1.574754599
0.083497059	2.038054827
0.078577726	2.154400243
0.000495644	1.997507558
-0.060288525	1.688966219
-0.115094827	1.302487218
-0.201196315	0.845074369
-0.272020723	0.336173954
-0.177640468	-0.143754961
0.236674495	-0.513522747
0.972476782	-0.756915798
1.787447537	-0.891696446
2.294091782	-0.90748501
2.219943927	-0.786230991
1.620252751	-0.583334438
0.841367847	-0.43896341
0.257029307	-0.464412572
0.015585207	-0.608212369
0.001996955	-0.652175815
0.009146894	-0.385830267
-0.060313828	0.156067584
-0.137498073	0.646657401
-0.122704222	0.73807273
-0.041079941	0.386791703
-0.010451677	-0.15221567
-0.090097679	-0.622200678
-0.246487982	-0.947377819
-0.459430165	-1.136330693
-0.775530016	-1.137273768
-1.215434067	-0.84842101
-1.678536822	-0.242258793
-1.972088096	0.542661278
-1.946577999	1.247583349
-1.602838246	1.674122834
-1.083071211	1.83898488
-0.555630912	1.930569815
-0.090793218	2.109647715
0.356866768	2.366112928
0.857826417	2.547975219
1.395011132	2.4904182
1.822975204	2.12890533
1.952865088	1.525422022
1.712079532	0.804023501
1.217031103	0.074403667
0.656234599	-0.589766088
0.129563607	-1.136524734
-0.367217386	-1.532231636
-0.821566925	-1.765906652
-1.12096086	-1.831017742
-1.141919487	-1.703534605
-0.922224211	-1.377884703
-0.662135349	-0.943322438
-0.48898203	-0.580431475
-0.283952843	-0.433746464
0.150609579	-0.490482954
0.768664595	-0.603247915
1.220405734	-0.633937055
1.153579259	-0.575404907
0.535962477	-0.546623171
-0.331716934	-0.68212524
-1.067949754	-1.01075613
-1.442140607	-1.399755326
-1.420742819	-1.605225867
-1.096165034	-1.421876697
-0.611821258	-0.826205782
-0.108035056	0.009410949
0.320908362	0.825300548
0.642864705	1.402618573
0.854200081	1.625251532
0.944676364	1.469713628
0.910549302	0.996521861
0.799789743	0.377073931
0.714575013	-0.144844775
0.733823536	-0.393604185
0.828949238	-0.348225418
0.889147052	-0.097311147
0.835939154	0.207586909
0.696622418	0.370718965
0.580506569	0.267320173
0.59367742	-0.021082877
0.731475215	-0.284916639
0.820032315	-0.423891046
0.619705669	-0.529020795
0.044439312	-0.725714161
-0.746884361	-1.018877224
-1.489997238	-1.304685757
-1.989164703	-1.447273468
-2.14741758	-1.302733052
-1.924037624	-0.759684669
-1.348384485	0.126947312
-0.550645485	1.064962721
0.290488362	1.700535748
1.04070599	1.875454203
1.642841517	1.671459212
