,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
Yamaguchi,48,9,5,140,5,71,1191,608,179,332,791,758,1617,1334,230,257,194,428,58,64,255,1185,5493,2983,1112,375,5510,6894,440,1554,2036,3583,3503,19296,155265,649,1508,3579,255,15278,1716,796,1965,2349,1220,466,2
Tokushima,68,19,11,61,19,6,26,313,244,62,605,855,255,583,22,107,31,275,4,453,456,684,1132,390,803,599,5672,7462,139,456,56,32,1705,745,81,43498,3044,4155,1105,1267,75,16,8,16,9,23,6
Kagawa,40,22,52,124,4,49,46,280,3711,186,1802,436,855,474,254,123,850,490,56,503,207,1492,1695,1370,2365,1003,4974,3976,147,2673,60,354,4017,2669,537,10838,73031,12301,3384,1661,453,25,172,106,351,346,276
Ehime,192,7,401,280,172,435,966,2430,964,882,7922,528,826,1855,112,1350,346,771,74,445,641,2219,6623,202,1464,2440,22826,13071,472,104,469,475,2776,8655,1225,2704,7554,153910,3940,3235,686,37,936,220,460,756,0
Kochi,188,0,3,27,0,64,28,9,14,10,356,113,552,65,533,75,8,6,0,58,6,2018,516,20,21,64,719,323,2,18,1,8,871,141,384,919,785,851,76332,120,37,17,3,28,40,57,0
Fukuoka,230,109,481,367,40,31,179,547,354,998,1863,1096,2064,2333,325,406,115,117,122,319,349,3502,10218,1273,1084,6457,6674,4127,264,354,400,2801,5755,8656,19280,290,1214,2221,656,628533,62887,15449,33722,23108,7104,11052,532
Saga,28,11,0,87,2,7,8,224,212,127,656,283,216,835,5,6,16,20,5,25,33,301,1360,244,175,444,806,1030,16,11,3,34,218,584,915,10,47,67,2,24894,50814,6639,3489,1987,743,1121,110
Nagasaki,47,1699,11,345,7,2,26,253,18,21,186,158,454,404,24,40,103,7,2,16,60,37,302,65,152,265,1600,758,23,87,12,4,195,447,160,43,23,18,10,3739,3657,50798,1350,1004,289,1519,0
Kumamoto,19,7,9,31,1,27,47,62,56,840,985,40,1170,1022,29,13,20,352,45,40,146,1326,2723,68,96,145,1651,701,10,134,9,23,1299,1615,264,46,22,71,7,20647,2382,3111,125200,3064,11313,5312,58
Oita,189,1,0,238,1,0,26,54,41,17,739,319,685,345,9,97,44,103,16,5,18,49,1302,466,504,48,1702,758,80,83,4,295,373,619,2274,184,66,475,461,17108,2701,972,7699,82424,3571,487,4
Miyazaki,211,4,36,48,1,1,48,119,128,313,201,754,386,555,41,13,51,47,5,28,122,1107,1254,134,227,141,1698,2250,9,37,116,12,328,811,798,149,31,237,21,5026,1217,1166,1114,558,97685,10793,84
Kagoshima,9,3,23,14,2,3,30,83,62,239,671,222,882,1164,28,114,39,17,3,17,83,342,2028,94,82,118,1959,1051,49,73,3,12,659,706,134,31,236,22,850,6558,637,151,5272,298,6120,144221,2309
Okinawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,4,143594
